round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM
22,10,0.3032,0.8845,0.6453,0.844,1,0.9549,1,0.9043,0.2334,0.8845
22,MEAN,0.2727,0.9135,0.6481,0.7394,0.9999,0.9533,0.9999,0.7437,0.6825,0.8623
23,1,0.2298,0.9264,0.6509,0.8062,0.9992,0.9573,0.999,0.9127,0.9758,0.8831
23,2,0.2617,0.9071,0.9421,0.7338,1,0.9651,1,0.8351,0.6649,0.8763
23,3,0.2486,0.9221,0.0769,0.8764,0.9994,0.9652,0.9994,0.8402,0.9651,0.8795
23,4,0.3065,0.9066,0.9805,0.7385,1,0.9565,0.9994,0.1346,0.7673,0.899
23,5,0.0993,0.9669,0.1408,0.8782,0.9991,0.9585,0.9995,0.9113,0.1182,0.7523
23,6,0.2068,0.9396,0.8134,0.8667,0.9995,0.9551,0.9995,0.6535,0.9398,0.8685
23,7,0.3357,0.8926,0.6983,0.8561,1,0.9672,1,0.8917,0.9602,0.8802
23,8,0.2794,0.8997,0.5289,0.8792,0.9989,0.9599,0.9992,0.8487,0.4528,0.8543
23,9,0.2622,0.9202,0.9607,0.0435,0.9996,0.963,1,0.5978,0.8665,0.8918
23,10,0.2905,0.8843,0.6352,0.8533,0.9899,0.9626,1,0.9022,0.2552,0.8843
23,MEAN,0.252,0.9165,0.6428,0.7532,0.9986,0.961,0.9996,0.7528,0.6966,0.8669
,,,,,,,,,,,
======================================================================,,,,,,,,,,,
Features : 40  ?  Classes : 8,,,,,,,,,,,
Clients  : 10   ?  Rounds  : 25,,,,,,,,,,,
Epochs   : 5 per round,,,,,,,,,,,
======================================================================,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
======================================================================,,,,,,,,,,,
ROUND 24/25  [NETWORK],,,,,,,,,,,
======================================================================,,,,,,,,,,,
,,,,,,,,,,,
?? Local training ??,,,,,,,,,,,
"  Client  1 ?  n= 49,128",,,,,,,,,,,
"  Client  2 ?  n= 18,948",,,,,,,,,,,
"  Client  3 ?  n= 78,701",,,,,,,,,,,
"  Client  4 ?  n= 40,466",,,,,,,,,,,
"  Client  5 ?  n= 87,852",,,,,,,,,,,
"  Client  6 ?  n= 41,368",,,,,,,,,,,
"  Client  7 ?  n= 25,670",,,,,,,,,,,
"  Client  8 ?  n= 39,224",,,,,,,,,,,
"  Client  9 ?  n= 17,788",,,,,,,,,,,
"  Client 10 ?  n= 55,250",,,,,,,,,,,
,,,,,,,,,,,
?? FedAvg aggregation weights ??,,,,,,,,,,,
  Client  1   10.8%  ?????,,,,,,,,,,,
  Client  2    4.2%  ??,,,,,,,,,,,
  Client  3   17.3%  ????????,,,,,,,,,,,
  Client  4    8.9%  ????,,,,,,,,,,,
  Client  5   19.3%  ?????????,,,,,,,,,,,
  Client  6    9.1%  ????,,,,,,,,,,,
