round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM
18,5,0.7012,0.8772,0.0291,0.0308,0.9962,0.7557,0.9936,0.6921,0.0833,0
18,6,1.835,0.6842,0.164,0.0211,0.9979,0.523,0.9967,0.2954,0.005,0.0208
18,7,2.3766,0.4212,0.2968,0.0306,0.9929,0.4365,0.5077,0.6308,0.0168,0.029
18,8,2.1519,0.5801,0.1394,0.0212,0.9943,0.7357,0.9933,0.5486,0,0.0104
18,9,2.4018,0.5386,0.3361,0,0.9973,0.6457,0.764,0.2794,0.0211,0.0187
18,10,1.6649,0.5888,0.2828,0.0236,0.9796,0.7362,0.9874,0.6734,0,0.0095
18,MEAN,1.9147,0.6055,0.2543,0.0209,0.9952,0.572,0.9166,0.4902,0.0157,0.0175
19,1,0.1662,0.9478,0.7502,0.875,0.9996,0.7751,0.9998,0.9545,0.9415,0.9558
19,2,0.1355,0.9481,0.9671,0.9022,1,0.9651,1,0.9185,0.6604,0.9553
19,3,0.137,0.9538,0.1119,0.9362,0.9995,0.9244,0.9994,0.9192,0.9301,0.9245
19,4,0.1275,0.9604,0.9807,0.9068,1,0.9612,0.9999,0.2902,0.7749,0.9648
19,5,0.0578,0.9809,0.2442,0.9379,0.9992,0.9693,0.9993,0.9554,0.1699,0.8571
19,6,0.1056,0.9619,0.8629,0.9228,0.9995,0.9381,0.9995,0.8214,0.9006,0.9163
19,7,0.2177,0.9268,0.7854,0.9111,1,0.9494,1,0.944,0.9354,0.9328
19,8,0.1422,0.9411,0.6746,0.9293,0.9992,0.9686,0.9995,0.9204,0.5116,0.903
19,9,0.1299,0.9588,0.9693,0.1176,0.9996,0.9666,0.9855,0.8022,0.8663,0.9626
19,10,0.1588,0.9359,0.7707,0.9213,0.9899,0.9702,0.9997,0.9506,0.301,0.929
19,MEAN,0.1378,0.9515,0.7117,0.836,0.9987,0.9388,0.9983,0.8476,0.6992,0.9301
20,1,0.1476,0.9566,0.7654,0.896,0.9996,0.9333,0.9995,0.9585,0.9643,0.9306
20,2,0.1425,0.9449,0.9675,0.8964,1,0.9675,1,0.9064,0.6962,0.9401
20,3,0.1429,0.9502,0.1165,0.9214,0.9996,0.9585,0.9998,0.914,0.9491,0.8998
20,4,0.1501,0.9534,0.9775,0.9125,1,0.9628,0.9994,0.2206,0.7935,0.9561
20,5,0.0565,0.9796,0.2357,0.9192,0.9994,0.9669,0.9998,0.9543,0.1605,0.7519
20,6,0.1175,0.9568,0.85,0.9102,0.9995,0.9565,0.9996,0.79,0.9263,0.8794
20,7,0.2089,0.9307,0.7933,0.8978,1,0.9721,1,0.9431,0.9541,0.9168
20,8,0.1533,0.9384,0.6995,0.9197,0.9992,0.9647,0.9997,0.9226,0.4973,0.8741
20,9,0.1389,0.9514,0.9679,0.1429,0.9996,0.9702,1,0.7087,0.8838,0.9454
20,10,0.1546,0.9352,0.7757,0.9169,0.9899,0.9685,1,0.9509,0.3182,0.9131
20,MEAN,0.1413,0.9497,0.7149,0.8333,0.9987,0.9621,0.9998,0.8269,0.7143,0.9007
21,1,0.3025,0.8894,0.5669,0.8205,0.9996,0.7191,0.9998,0.8774,0.9319,0.9068
21,2,0.2588,0.9027,0.9262,0.788,1,0.9606,1,0.7759,0.6688,0.9025
21,3,0.2915,0.8941,0.0512,0.8356,0.9996,0.8927,0.9996,0.7795,0.9222,0.8884
21,4,0.2534,0.9174,0.9691,0.8212,1,0.9572,1,0.1019,0.7723,0.9226
21,5,0.1084,0.9587,0.1047,0.8206,0.9994,0.9653,0.9992,0.8723,0.1757,0.768
21,6,0.2184,0.9226,0.7343,0.8245,0.9995,0.9242,0.9998,0.5788,0.8917,0.8753
21,7,0.411,0.849,0.6073,0.8169,1,0.9333,1,0.8467,0.9277,0.8973
21,8,0.3249,0.8741,0.4473,0.8377,0.9992,0.9609,0.9995,0.7963,0.5176,0.8634
21,9,0.2222,0.926,0.9303,0.1481,0.9996,0.9578,0.9855,0.5556,0.8562,0.9139
21,10,0.3627,0.8525,0.5582,0.8244,0.9899,0.9654,0.9997,0.8631,0.2985,0.8965
21,MEAN,0.2754,0.8986,0.5896,0.7537,0.9987,0.9236,0.9983,0.7047,0.6963,0.8835
22,1,0.1418,0.9572,0.7723,0.916,0.9996,0.8733,0.9993,0.9619,0.9567,0.9685
22,2,0.1155,0.9572,0.9691,0.8998,1,0.9662,1,0.9582,0.6826,0.9693
22,3,0.114,0.9666,0.1228,0.9592,0.9996,0.9458,0.9998,0.9502,0.9423,0.9363
22,4,0.1057,0.9791,0.9781,0.9303,1,0.9636,0.9994,0.6923,0.7934,0.9863
22,5,0.0484,0.9821,0.2467,0.9618,0.9994,0.9674,0.9998,0.9614,0.1625,0.8372
22,6,0.0911,0.9746,0.8521,0.9524,0.9995,0.9496,0.9996,0.9245,0.917,0.9302
22,7,0.1882,0.9403,0.7946,0.9346,1,0.967,1,0.9566,0.9501,0.943
22,8,0.1225,0.9546,0.7006,0.9546,0.9992,0.9655,0.9995,0.9513,0.5027,0.911
22,9,0.1064,0.9712,0.9706,0.1053,0.9996,0.9683,1,0.9457,0.876,0.9829
22,10,0.1342,0.9449,0.7824,0.9553,0.9899,0.9691,1,0.9601,0.3148,0.9503
22,MEAN,0.1168,0.9628,0.7189,0.8569,0.9987,0.9536,0.9998,0.9262,0.7098,0.9415
23,1,0.2167,0.9152,0.6445,0.8103,1,0.6985,0.9998,0.9158,0.9275,0.9068
23,2,0.2413,0.9118,0.946,0.7646,1,0.9621,1,0.808,0.6709,0.9041
23,3,0.2614,0.9022,0.0675,0.8203,0.9998,0.8779,1,0.8029,0.9182,0.9081
23,4,0.281,0.9134,0.9672,0.7856,1,0.9542,0.9999,0.1074,0.7652,0.9227
23,5,0.0797,0.9672,0.1404,0.8148,0.9998,0.9674,0.9998,0.9028,0.1781,0.8624
23,6,0.2235,0.9186,0.7623,0.7982,1,0.9107,0.9999,0.5752,0.8846,0.8921
23,7,0.3338,0.871,0.6771,0.8012,1,0.9296,1,0.8789,0.9235,0.9028
23,8,0.2824,0.884,0.5279,0.8123,0.9996,0.9578,0.9995,0.8196,0.5176,0.8939
23,9,0.2342,0.9276,0.9378,0.16,1,0.9589,1,0.5648,0.8537,0.914
23,10,0.2575,0.8859,0.6488,0.7982,1,0.9665,1,0.9003,0.2985,0.9052
23,MEAN,0.2412,0.9097,0.632,0.7365,0.9999,0.9184,0.9999,0.7276,0.6938,0.9012
24,1,0.0989,0.9825,0.9286,0.9385,0.9996,0.81,0.9997,0.9955,0.9474,0.9766
24,2,0.0974,0.9698,0.9865,0.9376,1,0.9659,1,0.9907,0.6728,0.9818
24,3,0.0801,0.9856,0.4068,0.9759,0.9996,0.9335,0.9998,0.9911,0.9355,0.9579
24,4,0.0944,0.9829,0.9827,0.9465,1,0.9611,0.9999,0.875,0.7775,0.9893
24,5,0.0337,0.9918,0.7327,0.9784,0.9993,0.9685,0.9997,0.9941,0.1667,0.9076
24,6,0.0726,0.9829,0.9315,0.9716,0.9995,0.9429,0.9996,0.972,0.9075,0.955
24,7,0.1397,0.9691,0.9377,0.9531,1,0.9536,1,0.9932,0.939,0.962
24,8,0.0799,0.9786,0.9439,0.972,0.9992,0.9677,0.9997,0.9886,0.5114,0.9456
24,9,0.1005,0.975,0.9816,0.1176,0.9996,0.9675,1,0.9904,0.871,0.9877
24,10,0.0754,0.982,0.9702,0.9691,0.9899,0.9699,1,0.9947,0.3062,0.9672
24,MEAN,0.0873,0.98,0.8802,0.876,0.9987,0.9441,0.9998,0.9785,0.7035,0.9631
